 temperature	i	 j	spin A(i,j)
   2.82000017              10           9           1
   2.82000017              10          10          -1
   2.82000017              10          11          -1
   2.82000017              10          12          -1
   2.82000017              10          13          -1
   2.82000017              10          14          -1
   2.82000017              10          15          -1
   2.82000017              10          16          -1
   2.82000017              10          17          -1
   2.82000017              10          18          -1
   2.82000017              10          19          -1
   2.82000017              10          20          -1
   2.82000017              10          21          -1
   2.82000017              11           2           1
   2.82000017              11           3           1
   2.82000017              11           4           1
   2.82000017              11           5           1
   2.82000017              11           6           1
   2.82000017              11           7           1
   2.82000017              11           8           1
   2.82000017              11           9           1
   2.82000017              11          10           1
   2.82000017              11          11           1
   2.82000017              11          12           1
   2.82000017              11          13           1
   2.82000017              11          14          -1
   2.82000017              11          15          -1
   2.82000017              11          16          -1
   2.82000017              11          17          -1
   2.82000017              11          18          -1
   2.82000017              11          19          -1
   2.82000017              11          20          -1
   2.82000017              11          21           1
   2.82000017              12           2           1
   2.82000017              12           3           1
   2.82000017              12           4           1
   2.82000017              12           5           1
   2.82000017              12           6           1
   2.82000017              12           7           1
   2.82000017              12           8           1
   2.82000017              12           9           1
   2.82000017              12          10           1
   2.82000017              12          11           1
   2.82000017              12          12           1
   2.82000017              12          13           1
   2.82000017              12          14          -1
   2.82000017              12          15          -1
   2.82000017              12          16          -1
   2.82000017              12          17          -1
   2.82000017              12          18          -1
   2.82000017              12          19          -1
   2.82000017              12          20          -1
   2.82000017              12          21          -1
   2.82000017              13           2          -1
   2.82000017              13           3          -1
   2.82000017              13           4          -1
   2.82000017              13           5          -1
   2.82000017              13           6          -1
   2.82000017              13           7           1
   2.82000017              13           8           1
   2.82000017              13           9           1
   2.82000017              13          10           1
   2.82000017              13          11          -1
   2.82000017              13          12          -1
   2.82000017              13          13          -1
   2.82000017              13          14          -1
   2.82000017              13          15          -1
   2.82000017              13          16          -1
   2.82000017              13          17          -1
   2.82000017              13          18          -1
   2.82000017              13          19          -1
   2.82000017              13          20          -1
   2.82000017              13          21          -1
   2.82000017              14           2          -1
   2.82000017              14           3          -1
   2.82000017              14           4          -1
   2.82000017              14           5          -1
   2.82000017              14           6          -1
   2.82000017              14           7          -1
   2.82000017              14           8           1
   2.82000017              14           9           1
   2.82000017              14          10           1
   2.82000017              14          11          -1
   2.82000017              14          12          -1
   2.82000017              14          13          -1
   2.82000017              14          14          -1
   2.82000017              14          15          -1
   2.82000017              14          16          -1
   2.82000017              14          17          -1
   2.82000017              14          18          -1
   2.82000017              14          19          -1
   2.82000017              14          20          -1
   2.82000017              14          21          -1
   2.82000017              15           2          -1
   2.82000017              15           3          -1
   2.82000017              15           4          -1
   2.82000017              15           5          -1
   2.82000017              15           6          -1
   2.82000017              15           7          -1
   2.82000017              15           8          -1
   2.82000017              15           9          -1
   2.82000017              15          10          -1
   2.82000017              15          11          -1
   2.82000017              15          12          -1
   2.82000017              15          13          -1
   2.82000017              15          14          -1
   2.82000017              15          15          -1
   2.82000017              15          16          -1
   2.82000017              15          17          -1
   2.82000017              15          18          -1
   2.82000017              15          19          -1
   2.82000017              15          20          -1
   2.82000017              15          21          -1
   2.82000017              16           2          -1
   2.82000017              16           3          -1
   2.82000017              16           4          -1
   2.82000017              16           5          -1
   2.82000017              16           6          -1
   2.82000017              16           7          -1
   2.82000017              16           8          -1
   2.82000017              16           9          -1
   2.82000017              16          10          -1
   2.82000017              16          11          -1
   2.82000017              16          12          -1
   2.82000017              16          13          -1
   2.82000017              16          14          -1
   2.82000017              16          15           1
   2.82000017              16          16          -1
